epoch,dendrites_acc,loss,spines_iou_score,val_dendrites_acc,val_loss,val_spines_iou_score
0,0.9713369011878967,0.46523961424827576,0.18782520294189453,0.9573422074317932,0.2728666365146637,0.3041718006134033
1,0.9743762016296387,0.3938058614730835,0.28353941440582275,0.9613766074180603,0.30140221118927,0.32749393582344055
2,0.9752038717269897,0.37228894233703613,0.31205374002456665,0.9596708416938782,0.2766421139240265,0.3475887179374695
3,0.9757586717605591,0.3543577790260315,0.33467739820480347,0.9596155881881714,0.2663072943687439,0.36475738883018494
4,0.976223886013031,0.3411690294742584,0.35228613018989563,0.9605539441108704,0.2692132592201233,0.3637726902961731
5,0.9765368103981018,0.3297410309314728,0.36836323142051697,0.9601716995239258,0.2815247178077698,0.3685077726840973
6,0.9768493175506592,0.321013867855072,0.3813917338848114,0.9584093689918518,0.2721012830734253,0.3739628791809082
7,0.9771643280982971,0.31088975071907043,0.39276671409606934,0.9600915908813477,0.2694806158542633,0.3638027310371399
8,0.9774089455604553,0.30287936329841614,0.40417230129241943,0.9612838625907898,0.27192822098731995,0.3650882840156555
9,0.9776363372802734,0.2951379120349884,0.4172801375389099,0.9608578681945801,0.28881192207336426,0.36914756894111633
10,0.9778404235839844,0.2868396043777466,0.4267239272594452,0.9593837857246399,0.27655571699142456,0.3778013288974762
11,0.9780242443084717,0.282430499792099,0.43301916122436523,0.9600978493690491,0.26798760890960693,0.3747376799583435
12,0.978160560131073,0.2748437821865082,0.4424867033958435,0.9600182175636292,0.27079400420188904,0.37922433018684387
13,0.9783101081848145,0.270539790391922,0.4486576318740845,0.9614181518554688,0.2873137891292572,0.3947584331035614
14,0.9784316420555115,0.2659547030925751,0.45644864439964294,0.9613327980041504,0.27361008524894714,0.3860737383365631
15,0.978609561920166,0.2580909729003906,0.46555960178375244,0.9589678049087524,0.273957222700119,0.3786887526512146
16,0.9787647724151611,0.2532382905483246,0.47276315093040466,0.9613115787506104,0.27192485332489014,0.3906061351299286
17,0.9788806438446045,0.24804939329624176,0.47935014963150024,0.9607031345367432,0.27322062849998474,0.3939175009727478
18,0.97901850938797,0.24077950417995453,0.48929113149642944,0.9596882462501526,0.26666685938835144,0.38904446363449097
19,0.9791061878204346,0.23636870086193085,0.49455833435058594,0.9596408605575562,0.2691469192504883,0.38583365082740784
20,0.9792168736457825,0.23503798246383667,0.49756157398223877,0.9611212015151978,0.2726556360721588,0.39648503065109253
21,0.9792956113815308,0.22885866463184357,0.5047808885574341,0.9598512053489685,0.2770758867263794,0.38933321833610535
22,0.9793595671653748,0.22911912202835083,0.507267415523529,0.959854006767273,0.273612916469574,0.39444637298583984
23,0.9794120192527771,0.22491522133350372,0.5111202597618103,0.9592642188072205,0.27107495069503784,0.3912310004234314
24,0.9794952869415283,0.2204275131225586,0.517544150352478,0.9580517411231995,0.2707979083061218,0.3959576189517975
25,0.9795143008232117,0.21916677057743073,0.5199854373931885,0.9612820148468018,0.28699564933776855,0.4020007252693176
26,0.9795916676521301,0.21817097067832947,0.5200129151344299,0.9615039825439453,0.2780560255050659,0.4028107225894928
27,0.9796180129051208,0.21402251720428467,0.5255237817764282,0.9601728916168213,0.27261629700660706,0.3979433476924896
28,0.979684591293335,0.2138698697090149,0.5271664261817932,0.961979866027832,0.27855920791625977,0.40007561445236206
29,0.9797202944755554,0.21173685789108276,0.5305455327033997,0.961572527885437,0.2751184105873108,0.404374361038208
